Team,Index,Cash,Revenue,Coherence,Status,Markets
Aurora Devices,49.91,-29809877.09,167982.08,70.83,No decisions saved,NA;APAC;EU;AFR;LATAM
Lumen Devices,53.39,-24361347.83,755797.14,68.33,No decisions saved,NA;APAC;EU;AFR;LATAM
Vertex Electronics,64.38,19580259.38,2606385.6,65,No decisions saved,NA;APAC;EU;AFR;LATAM
Apex Devices,34.85,46440000,0,95,No decisions saved,APAC
Titan Micro,34.76,45960000,0,100,No decisions saved,AFR
Helix Digital,34.6,45000000,0,95,No decisions saved,APAC
Solaris Consumer,34.98,47400000,0,95,No decisions saved,LATAM
Meridian Tech,34.72,45720000,0,95,No decisions saved,LATAM
