Team,Index,Cash,Revenue,Coherence,Status,Markets
Aurora Devices,52.86,-49051474.26,1499400,75,No decisions saved,NA;APAC;EU;AFR;LATAM
Nova Circuit,54.59,-43689238.24,1499400,75,No decisions saved,NA;APAC;EU;AFR;LATAM
Meridian Tech,60.34,-29034580,0,77.5,No decisions saved,NA;APAC;EU;AFR;LATAM
Solaris Consumer,52.83,-26350215.37,1499400,75,No decisions saved,NA;APAC;EU;AFR;LATAM
Apex Devices,23.69,43580000,0,95,No decisions saved,APAC
Zenith Hardware,24.31,42380000,0,95,No decisions saved,APAC
Helix Digital,24.95,46100000,0,100,No decisions saved,AFR
Lumen Devices,24.53,43460000,0,95,No decisions saved,EU
