Team,Index,Cash,Revenue,Coherence,Status (round 10),Markets
Aurora Devices,54.35,-2130194.17,6174000,85.56,Locked,NA;APAC;EU;AFR;LATAM
Photon Labs,68.94,-4150029.83,6174000,85.56,Locked,NA;APAC;EU;AFR;LATAM
Cobalt Innovations,57.48,-2577245.57,6174000,85.56,Locked,NA;APAC;EU;AFR;LATAM
Nova Circuit,49.21,-7322690.74,6174000,85.56,Locked,NA;APAC;EU;AFR;LATAM
Eclipse Gadgets,11.49,33670849.85,147441,95,Locked,APAC
Prism Tech,27.49,43409885.8,1407000,95,Locked,NA
Quantum Edge,4.78,43500000,0,95,Locked,NA
Zenith Hardware,3.96,39180000,0,95,Locked,EU
